label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign
consumer back flow;Source;[];[];[];[];[];[];[];nan;False;False
low temp source;Source;[];[];[];[];[];[];[];nan;False;False
